,track_id,n_frames_present,frame1,framef,mean_dn,std_dn,mean_dist,completeness,gap
2050,1459,3,237,239,3259.9385579427085,163.94293160741506,2.1095023109728612,1.0,0
2051,1389,3,222,224,3259.80126953125,196.23791110168645,1.4142135623730951,1.0,0
2052,1285,1,200,200,3258.061767578125,,,1.0,0
2053,1644,2,269,270,3257.620361328125,14.19219933626613,1.4142135623730951,1.0,0
2054,1119,1,172,172,3253.91943359375,,,1.0,0
2055,364,1,56,56,3250.467529296875,,,1.0,0
2056,1939,1,322,322,3248.393798828125,,,1.0,0
2057,1418,3,228,231,3240.1456705729165,361.84262094876937,2.3904947718614267,0.75,1
2058,473,4,67,70,3238.7348022460938,171.3378441216634,1.4142135623730951,1.0,0
2059,1650,2,270,271,3231.755859375,227.6296881549581,1.4142135623730951,1.0,0
2060,1366,1,216,216,3227.45166015625,,,1.0,0
2061,1235,2,192,193,3218.2003173828125,65.50353411452149,1.4142135623730951,1.0,0
2062,1786,5,293,297,3214.694140625,143.61112546174573,2.1606357570282224,1.0,0
2063,1374,1,218,218,3205.257568359375,,,1.0,0
2064,378,3,58,61,3192.7495930989585,172.19511033915654,2.121320343559643,0.75,1
2065,2141,2,353,354,3176.8170166015625,167.66734385062355,2.23606797749979,1.0,0
2066,1560,3,255,257,3165.762939453125,57.62170422090791,1.4142135623730951,1.0,0
2067,489,3,70,72,3147.2300618489585,232.5948043998628,1.6084946000525449,1.0,0
2068,1621,3,265,267,3143.774658203125,182.0923388670159,1.4142135623730951,1.0,0
2069,1397,3,223,225,3141.0770670572915,183.9705002016607,2.23606797749979,1.0,0
2070,1416,3,228,230,3134.3358561197915,122.20727289082565,1.3802523820783605,1.0,0
2071,1575,2,257,258,3127.93359375,423.2089328118767,2.1505813167606567,1.0,0
2072,479,1,68,68,3110.9677734375,,,1.0,0
2073,1767,1,290,290,3110.580078125,,,1.0,0
2074,1257,4,195,199,3107.2037353515625,244.07379016572304,1.885618083164127,0.8,1
2075,393,2,61,62,3106.0347900390625,12.364873828732048,2.1213203435596424,1.0,0
2076,1144,2,176,178,3105.650634765625,65.4515714335798,2.8284271247461903,0.6666666666666666,1
2077,313,1,47,47,3098.8740234375,,,1.0,0
2078,1175,2,182,183,3095.945068359375,242.96126853512834,1.4142135623730951,1.0,0
2079,1490,3,242,244,3095.0901692708335,256.13098580691894,2.0194218076158923,1.0,0
2080,1029,3,156,158,3092.57568359375,24.528670117000736,1.4142135623730951,1.0,0
2081,1058,1,160,160,3061.8896484375,,,1.0,0
2082,1170,1,180,180,3059.38330078125,,,1.0,0
2083,1822,4,299,302,3049.3173217773438,60.806066293738226,2.203138857669014,1.0,0
2084,507,3,74,76,3046.3771158854165,282.4751058941622,1.4142135623730951,1.0,0
2085,2001,2,329,330,3041.078857421875,212.1137352058652,2.358495283014151,1.0,0
2086,896,2,133,134,3036.351318359375,80.46067245162688,1.4142135623730951,1.0,0
2087,1095,1,167,167,3030.43115234375,,,1.0,0
2088,1674,2,274,275,3021.8604736328125,115.51165866543866,2.127204738618237,1.0,0
2089,540,1,80,80,3016.402587890625,,,1.0,0
2090,1512,10,246,255,2983.141796875,177.50793746141608,2.167933440505173,1.0,0
2091,1642,3,268,270,2977.6670735677085,148.26420951268352,2.1933246471302232,1.0,0
2092,1503,2,244,245,2976.9447021484375,20.158585436019127,2.1505813167606567,1.0,0
2093,1137,15,175,189,2973.554296875,242.73034599845485,1.4348367819602057,1.0,0
2094,129,1,14,14,2973.5517578125,,,1.0,0
